SECT_NAME,SECT_CODE,LIE_NAME,LIE_CODE,LI_NO,SDFKEY,SDFNAME
內湖區,6301000,清白里,6301000017,018,6301000017018,清白里18鄰
士林區,6301100,百齡里,6301100011,006,6301100011006,百齡里6鄰
士林區,6301100,葫蘆里,6301100017,026,6301100017026,葫蘆里26鄰
內湖區,6301000,西湖里,6301000001,026,6301000001026,西湖里26鄰
士林區,6301100,前港里,6301100010,010,6301100010010,前港里10鄰
內湖區,6301000,湖濱里,6301000010,015,6301000010015,湖濱里15鄰
中山區,6300400,劍潭里,6300400013,015,6300400013015,劍潭里15鄰
內湖區,6301000,湖濱里,6301000010,034,6301000010034,湖濱里34鄰
士林區,6301100,百齡里,6301100011,016,6301100011016,百齡里16鄰
中山區,6300400,劍潭里,6300400013,009,6300400013009,劍潭里9鄰
內湖區,6301000,清白里,6301000017,016,6301000017016,清白里16鄰
內湖區,6301000,內湖里,6301000009,010,6301000009010,內湖里10鄰
內湖區,6301000,內湖里,6301000009,023,6301000009023,內湖里23鄰
士林區,6301100,前港里,6301100010,004,6301100010004,前港里4鄰
內湖區,6301000,西康里,6301000002,024,6301000002024,西康里24鄰
內湖區,6301000,港華里,6301000008,010,6301000008010,港華里10鄰
士林區,6301100,百齡里,6301100011,017,6301100011017,百齡里17鄰
內湖區,6301000,西湖里,6301000001,023,6301000001023,西湖里23鄰
內湖區,6301000,秀湖里,6301000032,008,6301000032008,秀湖里8鄰
內湖區,6301000,秀湖里,6301000032,010,6301000032010,秀湖里10鄰
內湖區,6301000,秀湖里,6301000032,004,6301000032004,秀湖里4鄰
內湖區,6301000,秀湖里,6301000032,007,6301000032007,秀湖里7鄰
內湖區,6301000,西康里,6301000002,019,6301000002019,西康里19鄰
內湖區,6301000,西湖里,6301000001,012,6301000001012,西湖里12鄰
內湖區,6301000,湖濱里,6301000010,006,6301000010006,湖濱里6鄰
內湖區,6301000,港華里,6301000008,012,6301000008012,港華里12鄰
中山區,6300400,大直里,6300400014,006,6300400014006,大直里6鄰
士林區,6301100,葫蘆里,6301100017,009,6301100017009,葫蘆里9鄰
內湖區,6301000,西湖里,6301000001,011,6301000001011,西湖里11鄰
內湖區,6301000,西康里,6301000002,026,6301000002026,西康里26鄰
士林區,6301100,百齡里,6301100011,008,6301100011008,百齡里8鄰
士林區,6301100,百齡里,6301100011,009,6301100011009,百齡里9鄰
士林區,6301100,葫東里,6301100018,003,6301100018003,葫東里3鄰
內湖區,6301000,秀湖里,6301000032,005,6301000032005,秀湖里5鄰
內湖區,6301000,湖濱里,6301000010,005,6301000010005,湖濱里5鄰
內湖區,6301000,西康里,6301000002,020,6301000002020,西康里20鄰
內湖區,6301000,湖濱里,6301000010,033,6301000010033,湖濱里33鄰
內湖區,6301000,清白里,6301000017,014,6301000017014,清白里14鄰
內湖區,6301000,湖濱里,6301000010,020,6301000010020,湖濱里20鄰
中山區,6300400,劍潭里,6300400013,002,6300400013002,劍潭里2鄰
士林區,6301100,百齡里,6301100011,021,6301100011021,百齡里21鄰
士林區,6301100,百齡里,6301100011,023,6301100011023,百齡里23鄰
內湖區,6301000,內湖里,6301000009,005,6301000009005,內湖里5鄰
內湖區,6301000,西湖里,6301000001,009,6301000001009,西湖里9鄰
內湖區,6301000,清白里,6301000017,017,6301000017017,清白里17鄰
內湖區,6301000,湖濱里,6301000010,014,6301000010014,湖濱里14鄰
內湖區,6301000,西康里,6301000002,023,6301000002023,西康里23鄰
內湖區,6301000,港富里,6301000007,016,6301000007016,港富里16鄰
內湖區,6301000,港富里,6301000007,018,6301000007018,港富里18鄰
士林區,6301100,葫蘆里,6301100017,007,6301100017007,葫蘆里7鄰
內湖區,6301000,湖濱里,6301000010,017,6301000010017,湖濱里17鄰
士林區,6301100,前港里,6301100010,009,6301100010009,前港里9鄰
士林區,6301100,前港里,6301100010,005,6301100010005,前港里5鄰
中山區,6300400,大直里,6300400014,008,6300400014008,大直里8鄰
士林區,6301100,百齡里,6301100011,015,6301100011015,百齡里15鄰
中山區,6300400,劍潭里,6300400013,019,6300400013019,劍潭里19鄰
士林區,6301100,承德里,6301100012,004,6301100012004,承德里4鄰
中山區,6300400,劍潭里,6300400013,020,6300400013020,劍潭里20鄰
士林區,6301100,承德里,6301100012,019,6301100012019,承德里19鄰
中山區,6300400,大直里,6300400014,007,6300400014007,大直里7鄰
內湖區,6301000,清白里,6301000017,015,6301000017015,清白里15鄰
內湖區,6301000,西湖里,6301000001,018,6301000001018,西湖里18鄰
士林區,6301100,承德里,6301100012,018,6301100012018,承德里18鄰
士林區,6301100,百齡里,6301100011,004,6301100011004,百齡里4鄰
內湖區,6301000,西康里,6301000002,022,6301000002022,西康里22鄰
內湖區,6301000,湖濱里,6301000010,010,6301000010010,湖濱里10鄰
內湖區,6301000,內湖里,6301000009,008,6301000009008,內湖里8鄰
內湖區,6301000,西湖里,6301000001,006,6301000001006,西湖里6鄰
士林區,6301100,百齡里,6301100011,022,6301100011022,百齡里22鄰
內湖區,6301000,西湖里,6301000001,007,6301000001007,西湖里7鄰
中山區,6300400,成功里,6300400015,004,6300400015004,成功里4鄰
內湖區,6301000,麗山里,6301000038,009,6301000038009,麗山里9鄰
內湖區,6301000,港華里,6301000008,011,6301000008011,港華里11鄰
士林區,6301100,葫蘆里,6301100017,006,6301100017006,葫蘆里6鄰
士林區,6301100,承德里,6301100012,008,6301100012008,承德里8鄰
士林區,6301100,葫東里,6301100018,002,6301100018002,葫東里2鄰
內湖區,6301000,內湖里,6301000009,004,6301000009004,內湖里4鄰
中山區,6300400,成功里,6300400015,005,6300400015005,成功里5鄰
士林區,6301100,百齡里,6301100011,007,6301100011007,百齡里7鄰
士林區,6301100,承德里,6301100012,013,6301100012013,承德里13鄰
中山區,6300400,劍潭里,6300400013,008,6300400013008,劍潭里8鄰
士林區,6301100,福順里,6301100015,004,6301100015004,福順里4鄰
中山區,6300400,劍潭里,6300400013,017,6300400013017,劍潭里17鄰
中山區,6300400,大直里,6300400014,010,6300400014010,大直里10鄰
士林區,6301100,百齡里,6301100011,012,6301100011012,百齡里12鄰
內湖區,6301000,西湖里,6301000001,021,6301000001021,西湖里21鄰
內湖區,6301000,湖濱里,6301000010,011,6301000010011,湖濱里11鄰
中山區,6300400,成功里,6300400015,009,6300400015009,成功里9鄰
士林區,6301100,百齡里,6301100011,014,6301100011014,百齡里14鄰
內湖區,6301000,西湖里,6301000001,001,6301000001001,西湖里1鄰
內湖區,6301000,港華里,6301000008,006,6301000008006,港華里6鄰
內湖區,6301000,清白里,6301000017,019,6301000017019,清白里19鄰
內湖區,6301000,內溝里,6301000025,002,6301000025002,內溝里2鄰
內湖區,6301000,港華里,6301000008,005,6301000008005,港華里5鄰
士林區,6301100,承德里,6301100012,011,6301100012011,承德里11鄰
內湖區,6301000,清白里,6301000017,020,6301000017020,清白里20鄰
內湖區,6301000,內湖里,6301000009,024,6301000009024,內湖里24鄰
士林區,6301100,葫蘆里,6301100017,005,6301100017005,葫蘆里5鄰
中山區,6300400,劍潭里,6300400013,021,6300400013021,劍潭里21鄰
內湖區,6301000,秀湖里,6301000032,006,6301000032006,秀湖里6鄰
內湖區,6301000,西湖里,6301000001,020,6301000001020,西湖里20鄰
內湖區,6301000,湖濱里,6301000010,027,6301000010027,湖濱里27鄰
中山區,6300400,劍潭里,6300400013,022,6300400013022,劍潭里22鄰
內湖區,6301000,清白里,6301000017,023,6301000017023,清白里23鄰
士林區,6301100,百齡里,6301100011,013,6301100011013,百齡里13鄰
內湖區,6301000,內湖里,6301000009,021,6301000009021,內湖里21鄰
士林區,6301100,葫蘆里,6301100017,003,6301100017003,葫蘆里3鄰
中山區,6300400,大直里,6300400014,012,6300400014012,大直里12鄰
內湖區,6301000,港都里,6301000006,009,6301000006009,港都里9鄰
內湖區,6301000,湖濱里,6301000010,013,6301000010013,湖濱里13鄰
內湖區,6301000,內湖里,6301000009,001,6301000009001,內湖里1鄰
士林區,6301100,百齡里,6301100011,019,6301100011019,百齡里19鄰
中山區,6300400,成功里,6300400015,019,6300400015019,成功里19鄰
內湖區,6301000,湖濱里,6301000010,003,6301000010003,湖濱里3鄰
中山區,6300400,成功里,6300400015,006,6300400015006,成功里6鄰
內湖區,6301000,西康里,6301000002,025,6301000002025,西康里25鄰
士林區,6301100,福順里,6301100015,014,6301100015014,福順里14鄰
內湖區,6301000,西湖里,6301000001,003,6301000001003,西湖里3鄰
內湖區,6301000,麗山里,6301000038,014,6301000038014,麗山里14鄰
中山區,6300400,大直里,6300400014,015,6300400014015,大直里15鄰
內湖區,6301000,港華里,6301000008,001,6301000008001,港華里1鄰
內湖區,6301000,內湖里,6301000009,020,6301000009020,內湖里20鄰
內湖區,6301000,西湖里,6301000001,017,6301000001017,西湖里17鄰
士林區,6301100,福順里,6301100015,015,6301100015015,福順里15鄰
內湖區,6301000,內湖里,6301000009,022,6301000009022,內湖里22鄰
